Region,Year,Birds,Fungi,Plants,Reptiles
119041668,2010,0.7983,0.8312,0.7955,0.8267
316021417,2010,0.801,0.825,0.7719,0.7862
121011682,2010,0.7968,0.8388,0.8368,0.8293
309031235,2010,0.8034,0.8289,0.7814,0.7764
305031121,2010,0.7924,0.8163,0.7527,0.7641
206031113,2010,0.7678,0.8123,0.6887,0.6738
127011504,2010,0.7874,0.8143,0.7641,0.7821
506011111,2010,0.7977,0.8358,0.7505,0.7955
319011492,2010,0.8037,0.8234,0.7773,0.7728
120031676,2010,0.7968,0.8328,0.7997,0.8077
120031677,2010,0.7968,0.8281,0.806,0.8076
305041132,2010,0.8092,0.8278,0.7917,0.7874
309091263,2010,0.7973,0.8297,0.7809,0.779
212051319,2010,0.7734,0.8142,0.7411,0.6973
208031183,2010,0.7604,0.7988,0.6592,0.6829
302021027,2010,0.8021,0.8167,0.7605,0.7752
121021403,2010,0.8108,0.8381,0.8325,0.8203
401041014,2010,0.7831,0.8213,0.7201,0.672
306051166,2010,0.8331,0.8359,0.7991,0.8485
125011582,2010,0.7972,0.8175,0.7656,0.787
125011583,2010,0.7968,0.8177,0.7657,0.787
125011584,2010,0.7972,0.8208,0.7656,0.787
305041133,2010,0.7954,0.8247,0.7797,0.7752
501011001,2010,0.7939,0.8221,0.7721,0.7802
310041565,2010,0.8038,0.8283,0.7857,0.77
315011395,2010,0.8472,0.8664,0.8187,0.8447
601031013,2010,0.8013,0.8238,0.7562,0.7717
127011505,2010,0.79,0.8217,0.7341,0.7906
501021005,2010,0.7904,0.8099,0.7649,0.7554
122021420,2010,0.8025,0.8339,0.8008,0.8264
504031298,2010,0.7922,0.8313,0.7674,0.7641
201031013,2010,0.7843,0.8196,0.6948,0.7126
102011028,2010,0.7969,0.8375,0.7852,0.8233
504031055,2010,0.7965,0.8412,0.7994,0.789
210011533,2010,0.7669,0.8143,0.6901,0.6791
318011460,2010,0.8036,0.8237,0.7728,0.7761
306031158,2010,0.8371,0.8353,0.8182,0.8091
213041353,2010,0.7815,0.8176,0.6923,0.6914
201021009,2010,0.7859,0.8175,0.6869,0.696
127011592,2010,0.7875,0.8162,0.7415,0.7771
205021081,2010,0.7707,0.8071,0.6698,0.7244
701041036,2010,0.8593,0.8603,0.8351,0.8339
505021084,2010,0.7922,0.821,0.7508,0.7602
302011022,2010,0.7993,0.8155,0.7228,0.7667
507051312,2010,0.7845,0.8136,0.706,0.7476
507051313,2010,0.7835,0.8168,0.7325,0.731
505021085,2010,0.7906,0.8287,0.7456,0.7621
122011418,2010,0.8001,0.8359,0.8211,0.8264
107041144,2010,0.8135,0.8205,0.7679,0.8274
504031056,2010,0.7849,0.8284,0.7324,0.756
201011002,2010,0.7655,0.8087,0.6429,0.6834
201011481,2010,0.7805,0.8195,0.7258,0.7132
201011482,2010,0.7764,0.818,0.7126,0.7002
112011236,2010,0.795,0.8223,0.7894,0.7994
112011237,2010,0.797,0.8262,0.7883,0.7892
120021387,2010,0.797,0.8204,0.7903,0.8087
305021113,2010,0.7954,0.821,0.7796,0.7752
307011171,2010,0.8193,0.8589,0.7996,0.781
207011147,2010,0.7722,0.8215,0.7347,0.6978
207011148,2010,0.7772,0.8204,0.7388,0.6978
308041528,2010,0.8115,0.8359,0.7647,0.7716
112011238,2010,0.8048,0.8313,0.8001,0.7969
507011148,2010,0.79,0.8147,0.732,0.7437
801071071,2010,0.7851,0.8223,0.7586,0.7443
117011320,2010,0.7927,0.8136,0.7577,0.8128
119011571,2010,0.7928,0.8265,0.7997,0.787
119011572,2010,0.7928,0.822,0.7703,0.787
203011034,2010,0.7658,0.8096,0.6666,0.6775
112031550,2010,0.8003,0.829,0.7856,0.7795
204031491,2010,0.796,0.8231,0.7247,0.711
315031408,2010,0.8578,0.8729,0.8186,0.8199
305041134,2010,0.8045,0.8265,0.7794,0.7874
319011493,2010,0.8066,0.8248,0.7898,0.7764
123031445,2010,0.7924,0.8266,0.7739,0.8011
702021055,2010,0.9086,0.9027,0.9016,0.9105
407031159,2010,0.8501,0.8657,0.8518,0.8316
405011110,2010,0.7759,0.8248,0.7055,0.6765
801061129,2010,0.7764,0.8116,0.7005,0.7236
203031489,2010,0.758,0.8039,0.6327,0.6735
119011354,2010,0.7875,0.8198,0.7872,0.787
504011044,2010,0.7913,0.8377,0.77,0.7597
102021044,2010,0.7977,0.8349,0.7977,0.8233
507041176,2010,0.7948,0.8208,0.7574,0.7622
101041017,2010,0.8012,0.8344,0.8205,0.8162
101041018,2010,0.804,0.8297,0.8126,0.803
103011059,2010,0.7803,0.8162,0.7247,0.7205
103011612,2010,0.7857,0.8172,0.7319,0.7348
103011613,2010,0.7789,0.8167,0.7087,0.7236
103011060,2010,0.8009,0.824,0.7447,0.7524
115011290,2010,0.7957,0.8408,0.802,0.787
509011227,2010,0.7947,0.8211,0.7441,0.7643
211011251,2010,0.7812,0.8175,0.7082,0.703
504011045,2010,0.792,0.8305,0.7607,0.7596
211031263,2010,0.7797,0.8217,0.7039,0.7014
122021421,2010,0.8038,0.8367,0.8111,0.8256
313011362,2010,0.8051,0.8184,0.759,0.7721
122031424,2010,0.7986,0.8389,0.8399,0.8233
212011546,2010,0.7894,0.8178,0.7133,0.7105
311011305,2010,0.8114,0.8313,0.7839,0.7937
201031014,2010,0.7855,0.819,0.6793,0.6921
208011168,2010,0.7768,0.8042,0.7491,0.69
401031012,2010,0.7802,0.815,0.726,0.6778
602021053,2010,0.7892,0.8151,0.7534,0.7816
506041132,2010,0.7862,0.8283,0.7329,0.7567
504031057,2010,0.789,0.8346,0.7642,0.7533
204031068,2010,0.8022,0.826,0.7598,0.7565
507011259,2010,0.7877,0.8158,0.6982,0.7429
311021306,2010,0.8005,0.8266,0.7671,0.7783
316061439,2010,0.8098,0.8258,0.767,0.7835
101041020,2010,0.8098,0.8279,0.7917,0.8267
101041019,2010,0.7968,0.8196,0.7462,0.804
403031065,2010,0.7803,0.8171,0.7332,0.6876
801011002,2010,0.7841,0.8158,0.6783,0.7229
318021469,2010,0.8273,0.8301,0.785,0.7907
211051274,2010,0.7905,0.8312,0.7515,0.7497
310041566,2010,0.7994,0.8256,0.7902,0.7699
304021086,2010,0.795,0.8259,0.733,0.7616
601021004,2010,0.7888,0.813,0.7322,0.7526
403031066,2010,0.7735,0.8129,0.7369,0.6688
118011649,2010,0.7979,0.8336,0.81,0.8242
104021083,2010,0.8196,0.8361,0.8268,0.8372
203021037,2010,0.7668,0.8091,0.6794,0.6712
506021118,2010,0.7896,0.8361,0.7643,0.761
111011206,2010,0.7946,0.8298,0.7815,0.8114
301011002,2010,0.8009,0.8261,0.7448,0.7715
111011207,2010,0.7826,0.8175,0.7482,0.8009
119021362,2010,0.7968,0.8303,0.7929,0.8134
122031692,2010,0.8109,0.8392,0.8364,0.8263
204021063,2010,0.7717,0.8182,0.6876,0.6774
204021064,2010,0.7977,0.8251,0.6973,0.7138
202011018,2010,0.7721,0.8201,0.6985,0.7068
202031032,2010,0.7707,0.8297,0.686,0.7149
202021026,2010,0.7754,0.8194,0.692,0.7022
309101267,2010,0.7882,0.8265,0.7041,0.7708
208021174,2010,0.7828,0.8018,0.7118,0.6959
208021426,2010,0.783,0.8018,0.6954,0.69
208021427,2010,0.7841,0.8038,0.7125,0.6901
506031124,2010,0.7924,0.821,0.7543,0.7562
306021144,2010,0.8494,0.8403,0.814,0.8376
125011585,2010,0.7972,0.829,0.7819,0.787
111031223,2010,0.789,0.8246,0.7462,0.7904
107011545,2010,0.794,0.8196,0.7492,0.815
121021404,2010,0.8077,0.8371,0.8122,0.8206
407031160,2010,0.8457,0.8675,0.8653,0.833
601031014,2010,0.8081,0.8291,0.781,0.7849
701021012,2010,0.8463,0.8576,0.8289,0.822
114011272,2010,0.8135,0.8335,0.81,0.8312
308031205,2010,0.8032,0.8339,0.7506,0.7618
212021293,2010,0.7924,0.8204,0.7292,0.7179
212021553,2010,0.7817,0.809,0.6826,0.6964
212021554,2010,0.7834,0.8072,0.6831,0.7034
311051323,2010,0.7954,0.8217,0.748,0.7781
404011090,2010,0.7595,0.8394,0.6961,0.6889
119041669,2010,0.7997,0.8315,0.8088,0.8267
119041670,2010,0.7976,0.8304,0.8119,0.8267
507011150,2010,0.7921,0.8187,0.7447,0.7433
507011151,2010,0.7876,0.8121,0.7115,0.7437
507041177,2010,0.7949,0.8221,0.77,0.7744
116031313,2010,0.7927,0.8133,0.7352,0.7771
309031236,2010,0.7938,0.816,0.7485,0.7673
308041529,2010,0.802,0.8281,0.7331,0.7298
115031299,2010,0.8132,0.8343,0.7972,0.8305
301011003,2010,0.8039,0.8189,0.7763,0.7681
801051123,2010,0.7848,0.8217,0.757,0.7432
207031161,2010,0.7725,0.8169,0.7165,0.7114
207031162,2010,0.7743,0.8168,0.7302,0.7114
124011449,2010,0.8134,0.8334,0.8101,0.8133
116011560,2010,0.7963,0.8182,0.7819,0.7771
116011561,2010,0.7968,0.8177,0.7693,0.7771
403031067,2010,0.7779,0.8161,0.7556,0.68
124011450,2010,0.7959,0.8389,0.7876,0.8242
103041076,2010,0.7941,0.824,0.7342,0.7396
316071545,2010,0.7948,0.8257,0.7459,0.7805
102021045,2010,0.7989,0.8278,0.7194,0.8107
124011451,2010,0.8161,0.8359,0.8217,0.8386
124021456,2010,0.8116,0.8309,0.7768,0.8201
318021470,2010,0.8226,0.8366,0.8153,0.8053
111021215,2010,0.7954,0.8329,0.7619,0.8137
101031013,2010,0.8066,0.8268,0.7776,0.8137
118011339,2010,0.7984,0.8335,0.8187,0.8242
118011340,2010,0.8001,0.832,0.8032,0.8243
118011341,2010,0.7966,0.8376,0.8258,0.8243
111021216,2010,0.798,0.8309,0.8022,0.815
801041035,2010,0.7826,0.819,0.7435,0.7251
127021509,2010,0.7927,0.8145,0.7693,0.782
801071072,2010,0.7797,0.8176,0.7332,0.7298
310021277,2010,0.8119,0.829,0.7723,0.7924
302031035,2010,0.7952,0.8195,0.7379,0.7643
507041178,2010,0.7922,0.8198,0.7632,0.7713
319041516,2010,0.8069,0.8264,0.8,0.7876
211011446,2010,0.794,0.8223,0.7217,0.7338
311031311,2010,0.8048,0.8254,0.7851,0.7753
127021510,2010,0.7972,0.8255,0.7714,0.7821
117011321,2010,0.7922,0.8127,0.7502,0.8133
511031278,2010,0.8982,0.8856,0.8869,0.8884
308031206,2010,0.8148,0.8331,0.7944,0.7735
105011092,2010,0.8466,0.8839,0.8568,0.8548
312011337,2010,0.8211,0.8292,0.7815,0.7918
114021284,2010,0.7995,0.8333,0.7865,0.8416
102011029,2010,0.8023,0.8352,0.7771,0.8263
207031163,2010,0.7727,0.8196,0.7173,0.7046
115041623,2010,0.7925,0.8293,0.7446,0.7771
207031164,2010,0.7777,0.8196,0.7271,0.6981
308051531,2010,0.8164,0.8273,0.7912,0.7792
504031299,2010,0.7914,0.8353,0.7709,0.7641
302041041,2010,0.8027,0.8212,0.7822,0.7752
123021436,2010,0.7977,0.83,0.7958,0.8077
801051051,2010,0.7781,0.8142,0.7008,0.7236
208031184,2010,0.7688,0.7998,0.6967,0.6899
101021007,2010,0.8081,0.8271,0.7829,0.8025
106011107,2010,0.8085,0.8285,0.7435,0.8062
319011494,2010,0.8029,0.8254,0.7803,0.7831
310031283,2010,0.7936,0.8277,0.7689,0.7552
314031391,2010,0.7987,0.8172,0.7519,0.7752
213031347,2010,0.7573,0.8069,0.6679,0.6774
313011363,2010,0.8063,0.82,0.7822,0.777
302011023,2010,0.8047,0.8171,0.7765,0.7752
501031017,2010,0.795,0.8255,0.7255,0.7512
601011001,2010,0.807,0.8263,0.7609,0.7682
204031069,2010,0.8142,0.8303,0.8079,0.8146
601011002,2010,0.7909,0.8156,0.7136,0.7482
208011170,2010,0.7841,0.8018,0.7253,0.6901
701021013,2010,0.8518,0.8538,0.8228,0.8268
306011138,2010,0.844,0.8435,0.8196,0.8425
302031036,2010,0.7903,0.8124,0.7387,0.7643
305011105,2010,0.7954,0.8267,0.7869,0.7752
301031014,2010,0.7976,0.8123,0.7679,0.7661
309011224,2010,0.7813,0.8144,0.7036,0.7643
210051242,2010,0.7705,0.8139,0.6633,0.6816
312011338,2010,0.825,0.8401,0.7989,0.7874
105021097,2010,0.8865,0.886,0.8905,0.8886
213041571,2010,0.7677,0.8154,0.6829,0.6841
304021087,2010,0.8086,0.8298,0.7905,0.793
509031246,2010,0.8057,0.8585,0.7656,0.7526
510011262,2010,0.9028,0.8787,0.8579,0.8994
101041021,2010,0.8023,0.8264,0.7846,0.7969
311031312,2010,0.8097,0.8259,0.7854,0.7753
801011003,2010,0.7818,0.8192,0.7315,0.7241
206011495,2010,0.7684,0.8091,0.6572,0.679
206011496,2010,0.7645,0.8088,0.6567,0.6788
206011106,2010,0.767,0.808,0.6573,0.6789
112011239,2010,0.8069,0.8241,0.7897,0.7844
206011107,2010,0.7704,0.8111,0.6813,0.6791
603021069,2010,0.804,0.8212,0.7843,0.7907
205021082,2010,0.8059,0.8243,0.7608,0.8101
316021418,2010,0.7941,0.8099,0.7399,0.7763
316011413,2010,0.8025,0.828,0.7765,0.8081
316011414,2010,0.8058,0.8283,0.7821,0.8083
102021046,2010,0.7946,0.8231,0.77,0.8061
701021014,2010,0.8429,0.8548,0.8026,0.8215
108011151,2010,0.8127,0.8305,0.8008,0.8111
305021114,2010,0.7954,0.8237,0.7647,0.7752
507041179,2010,0.7948,0.8176,0.7543,0.7585
207021156,2010,0.7753,0.8173,0.7055,0.6979
504031058,2010,0.7939,0.8365,0.7755,0.7847
215031400,2010,0.7867,0.8446,0.7644,0.7618
319011495,2010,0.8039,0.8262,0.7863,0.7792
319011496,2010,0.8039,0.8201,0.7737,0.7728
319011497,2010,0.8086,0.8241,0.7981,0.7791
319011498,2010,0.813,0.8309,0.7966,0.7909
319011499,2010,0.809,0.832,0.7984,0.7836
309101268,2010,0.7908,0.8174,0.7081,0.7643
310031284,2010,0.7947,0.8267,0.7404,0.755
209011196,2010,0.7713,0.8156,0.6888,0.6975
209041216,2010,0.7726,0.8161,0.6827,0.6904
209041217,2010,0.7735,0.8136,0.6778,0.6907
201011005,2010,0.7849,0.8209,0.7257,0.7271
212011547,2010,0.7904,0.8229,0.729,0.7342
318011461,2010,0.8359,0.8414,0.8075,0.8069
318021582,2010,0.8165,0.8246,0.7921,0.7836
309011225,2010,0.7978,0.8318,0.8001,0.7853
309011226,2010,0.8013,0.8261,0.7397,0.776
604011076,2010,0.8083,0.8277,0.7997,0.8032
604011077,2010,0.784,0.8196,0.7875,0.7733
213041461,2010,0.7684,0.8118,0.6882,0.6802
401031011,2010,0.7758,0.817,0.714,0.6751
213041462,2010,0.7684,0.8118,0.6815,0.6803
313041372,2010,0.8072,0.8213,0.7842,0.7752
313021364,2010,0.8003,0.8132,0.762,0.7644
319051522,2010,0.8084,0.8311,0.795,0.7976
207031166,2010,0.7743,0.8179,0.7211,0.7034
501011293,2010,0.7881,0.8049,0.7419,0.7319
501011294,2010,0.7886,0.8057,0.6972,0.7497
501011003,2010,0.794,0.8217,0.7677,0.7634
505031099,2010,0.8014,0.821,0.7702,0.7614
506061142,2010,0.7925,0.8273,0.7401,0.7726
112011240,2010,0.8063,0.829,0.7871,0.7905
313021572,2010,0.8069,0.8187,0.7778,0.7743
313021366,2010,0.8072,0.8149,0.767,0.7642
313021573,2010,0.8135,0.8216,0.7693,0.7664
127021511,2010,0.788,0.8103,0.7446,0.787
127021512,2010,0.7879,0.816,0.774,0.787
213011329,2010,0.767,0.812,0.6751,0.6781
306021145,2010,0.8345,0.8322,0.806,0.8041
303051073,2010,0.8085,0.8263,0.7939,0.7782
102011030,2010,0.8065,0.8369,0.783,0.8188
202011019,2010,0.7752,0.8208,0.7063,0.715
507031170,2010,0.7952,0.8188,0.7414,0.7433
114011273,2010,0.8,0.8288,0.7365,0.8287
308051532,2010,0.8164,0.8277,0.794,0.7795
316021419,2010,0.8129,0.8241,0.8136,0.7834
316061440,2010,0.8122,0.8322,0.7974,0.8108
316021580,2010,0.8102,0.8242,0.797,0.7867
801071073,2010,0.7869,0.8211,0.7512,0.7532
207011149,2010,0.7746,0.8175,0.7113,0.6972
317011445,2010,0.7835,0.8161,0.6995,0.7513
601021005,2010,0.7869,0.811,0.7363,0.7561
124031457,2010,0.7875,0.8161,0.7497,0.7771
123011433,2010,0.7837,0.8184,0.7109,0.7878
506011112,2010,0.7855,0.8287,0.7183,0.7648
310041297,2010,0.8037,0.8255,0.7891,0.7699
303011047,2010,0.7988,0.8286,0.7864,0.7797
801051124,2010,0.784,0.8191,0.7431,0.7255
210051243,2010,0.7695,0.8114,0.6598,0.6788
123021437,2010,0.7892,0.8176,0.7703,0.787
217031471,2010,0.7675,0.8111,0.6742,0.6694
117031638,2010,0.7968,0.8243,0.8091,0.8293
119021659,2010,0.7968,0.8309,0.7827,0.8079
119021660,2010,0.7968,0.8192,0.7995,0.8078
201011483,2010,0.7751,0.8214,0.7358,0.7131
801031114,2010,0.7756,0.8132,0.7007,0.724
801031113,2010,0.7842,0.8168,0.7376,0.7404
127021513,2010,0.7875,0.8106,0.7536,0.787
506041133,2010,0.787,0.8259,0.7308,0.7536
506031125,2010,0.7889,0.8182,0.7338,0.7478
506031126,2010,0.7863,0.8268,0.7365,0.7403
506031127,2010,0.7864,0.8343,0.7224,0.7524
303011048,2010,0.7963,0.8205,0.7617,0.7752
119021661,2010,0.7968,0.8296,0.8019,0.8133
301011004,2010,0.801,0.8272,0.7405,0.7777
312031360,2010,0.8394,0.8405,0.8326,0.8254
315011396,2010,0.8546,0.8631,0.8422,0.8458
501021007,2010,0.7906,0.8169,0.7629,0.7498
505031256,2010,0.7932,0.8265,0.7365,0.7615
303011049,2010,0.7954,0.8236,0.78,0.7752
303011050,2010,0.7988,0.8289,0.7964,0.7798
303011051,2010,0.8005,0.8268,0.7906,0.7797
128011602,2010,0.795,0.8316,0.7919,0.8247
128011603,2010,0.7979,0.8325,0.8118,0.8247
125021711,2010,0.7957,0.8375,0.8039,0.787
125021712,2010,0.7957,0.8394,0.805,0.787
206041117,2010,0.7644,0.8081,0.6996,0.679
206071140,2010,0.7655,0.8128,0.6656,0.6789
511021276,2010,0.8844,0.8842,0.8666,0.8784
208021176,2010,0.7777,0.7984,0.6907,0.69
310041298,2010,0.8029,0.8234,0.7981,0.762
213041463,2010,0.7611,0.8079,0.6814,0.6802
315021404,2010,0.8687,0.8819,0.8603,0.8564
505031100,2010,0.7966,0.8236,0.7638,0.7602
309061246,2010,0.7983,0.8262,0.753,0.7759
208031185,2010,0.76,0.7963,0.6683,0.6765
214011370,2010,0.7701,0.8059,0.6955,0.6823
302011024,2010,0.8021,0.8212,0.7618,0.7752
801041036,2010,0.7849,0.8222,0.7486,0.7251
314011383,2010,0.8061,0.8261,0.7407,0.8059
112021244,2010,0.7872,0.8244,0.7461,0.7744
112021245,2010,0.8075,0.8278,0.764,0.798
121011683,2010,0.804,0.8373,0.8186,0.8256
115011553,2010,0.7957,0.8382,0.7971,0.787
115011554,2010,0.7957,0.8373,0.8137,0.787
115011555,2010,0.7963,0.8397,0.7992,0.787
115011556,2010,0.7957,0.8411,0.8154,0.787
115011557,2010,0.7963,0.832,0.7795,0.787
202021027,2010,0.7783,0.8219,0.7243,0.7069
202021028,2010,0.7778,0.8185,0.6833,0.7062
507031261,2010,0.7908,0.817,0.7264,0.7435
127031522,2010,0.7887,0.8175,0.7738,0.787
208021177,2010,0.7753,0.8033,0.6955,0.688
208021178,2010,0.783,0.8051,0.7243,0.69
127011593,2010,0.7928,0.8234,0.7554,0.7819
406011129,2010,0.8362,0.8441,0.8851,0.8487
118011342,2010,0.7915,0.8356,0.8056,0.8243
603011065,2010,0.8099,0.8257,0.7427,0.7802
308011190,2010,0.8205,0.8423,0.7868,0.7774
308011191,2010,0.8276,0.8471,0.7749,0.7887
106011108,2010,0.7908,0.821,0.7146,0.7601
106011109,2010,0.81,0.8334,0.7673,0.828
311031313,2010,0.797,0.824,0.7753,0.7752
304021088,2010,0.8061,0.8289,0.7851,0.7937
801081091,2010,0.7819,0.8211,0.7712,0.7258
203021485,2010,0.7626,0.8064,0.658,0.6719
702011045,2010,0.9299,0.916,0.9461,0.9381
701021015,2010,0.8475,0.8557,0.8106,0.8287
111011208,2010,0.801,0.8344,0.8101,0.8194
315031409,2010,0.8447,0.8679,0.7995,0.8284
801011004,2010,0.7847,0.8189,0.7406,0.7171
318011462,2010,0.8471,0.8608,0.8368,0.8348
121011684,2010,0.7968,0.8384,0.8219,0.8293
304031092,2010,0.7954,0.8178,0.7389,0.7753
208031186,2010,0.7629,0.7982,0.6761,0.6765
208031187,2010,0.7569,0.7982,0.6502,0.6762
302021028,2010,0.8021,0.8166,0.7665,0.7752
302021029,2010,0.8021,0.8251,0.7868,0.7752
115011558,2010,0.7957,0.8373,0.8187,0.8176
125031479,2010,0.7928,0.8201,0.7592,0.787
504021049,2010,0.7968,0.8386,0.7838,0.794
801091099,2010,0.7826,0.8198,0.7513,0.724
204031070,2010,0.7842,0.8222,0.7031,0.6889
307011172,2010,0.8001,0.8338,0.7396,0.7508
117031639,2010,0.7977,0.8233,0.8017,0.8293
127031523,2010,0.7814,0.8077,0.7545,0.7807
211051275,2010,0.7807,0.8238,0.7387,0.7104
801071074,2010,0.7841,0.8168,0.7307,0.7298
102021047,2010,0.7916,0.8319,0.7795,0.8105
509021236,2010,0.7944,0.8386,0.7292,0.7598
403041073,2010,0.7551,0.8162,0.7006,0.6711
403041074,2010,0.7607,0.8164,0.7106,0.6755
119011355,2010,0.7971,0.8234,0.7612,0.787
205041094,2010,0.797,0.824,0.7137,0.7452
310031285,2010,0.7912,0.8245,0.7621,0.7455
503011030,2010,0.7989,0.8221,0.77,0.7616
801051053,2010,0.7748,0.8083,0.7136,0.7214
405021116,2010,0.7722,0.8184,0.7121,0.6881
403041075,2010,0.7754,0.8166,0.7367,0.6793
212041309,2010,0.7828,0.8058,0.6985,0.6959
505031101,2010,0.7989,0.821,0.77,0.7718
305031122,2010,0.7988,0.8286,0.7662,0.7752
123021438,2010,0.7929,0.8197,0.7418,0.787
212051568,2010,0.7829,0.8079,0.6998,0.6959
212041310,2010,0.783,0.8036,0.6927,0.6959
309081259,2010,0.7918,0.8205,0.6753,0.7643
312011339,2010,0.8454,0.8542,0.8063,0.7993
301021007,2010,0.801,0.8219,0.774,0.7705
307031184,2010,0.787,0.8198,0.7116,0.7442
306011139,2010,0.8463,0.8412,0.8335,0.8387
206071145,2010,0.7671,0.8134,0.6989,0.6843
203031048,2010,0.7719,0.8095,0.7081,0.6739
308051533,2010,0.8135,0.8325,0.8043,0.7806
313051377,2010,0.8057,0.8158,0.7844,0.7732
506021309,2010,0.7894,0.8339,0.7395,0.7568
212031555,2010,0.7704,0.8029,0.6786,0.6968
212031556,2010,0.7713,0.803,0.6749,0.6897
105011093,2010,0.8364,0.8747,0.8422,0.8367
127011726,2010,0.7916,0.8219,0.7193,0.7948
213041572,2010,0.7648,0.8093,0.6927,0.6841
216021411,2010,0.7683,0.8337,0.6644,0.6881
206011497,2010,0.7693,0.8109,0.6718,0.6788
206011498,2010,0.7679,0.8102,0.6664,0.679
210031236,2010,0.7685,0.8113,0.6681,0.6788
701021016,2010,0.8518,0.8538,0.8297,0.8276
104021084,2010,0.8085,0.825,0.7892,0.8278
104021085,2010,0.805,0.8242,0.7934,0.8236
217031472,2010,0.7735,0.8121,0.6946,0.6841
217031473,2010,0.7787,0.8156,0.6732,0.6801
122031693,2010,0.7969,0.8341,0.8158,0.8254
501021008,2010,0.7937,0.8123,0.7602,0.7313
501021009,2010,0.7955,0.8286,0.7111,0.7786
206071141,2010,0.767,0.809,0.6886,0.6789
310041299,2010,0.7942,0.8266,0.7608,0.7526
312011340,2010,0.8416,0.8464,0.8127,0.8035
403031068,2010,0.7651,0.816,0.6975,0.672
124051580,2010,0.7875,0.8147,0.7353,0.7771
506071145,2010,0.7948,0.82,0.7509,0.7719
120011383,2010,0.7964,0.819,0.7792,0.787
120011672,2010,0.7964,0.8241,0.7708,0.787
119011356,2010,0.7861,0.8179,0.7741,0.787
801071075,2010,0.7943,0.8212,0.7588,0.7543
103021062,2010,0.7895,0.8449,0.7235,0.736
318021471,2010,0.8127,0.839,0.7778,0.78
406021139,2010,0.9079,0.9028,0.9161,0.9363
507011152,2010,0.7876,0.8136,0.7223,0.7544
118021651,2010,0.7955,0.8364,0.8047,0.8243
801011005,2010,0.7818,0.82,0.7695,0.7249
